Name/Organization,url
Brett Cannon,https://snarky.ca/
Pradyun Gedam,https://pradyunsg.me/blog/
Textualize.io,https://textual.textualize.io/blog/
Explosion.ai,https://explosion.ai/blog
LJ Miranda,https://ljvmiranda921.github.io
Peter Baumgartner,https://www.peterbaumgartner.com/blog/
StackOverflow,https://stackoverflow.blog/
GitHub,https://github.blog/
Armin Ronacher,https://lucumr.pocoo.org/
Netflix,https://netflixtechblog.com/
Weights and Biases,https://wandb.ai/site/articles
Huggingface,https://huggingface.co/blog
Paul Ganssle,https://blog.ganssle.io/
PyTorch,https://pytorch.org/blog/